Type,Operation,String_expresion,CIR_regularizado,Explicit,String
DATE,DATE,the eighth week of 1998,1998<pad>08<pad><pad><pad><pad><pad><pad>,explicit,<date the eighth week of 1998 1998<pad>08<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in October 2092,2092 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 2092 2092 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,November thirteenth,<pad>11<pad>13<pad><pad><pad><pad><pad>,explicit,<date November thirteenth <pad>11<pad>13<pad><pad><pad><pad><pad>>
DATE,DATE,The day 25,<pad><pad><pad>25<pad><pad><pad><pad><pad>,explicit,<date The day 25 <pad><pad><pad>25<pad><pad><pad><pad><pad>>
DATE,DATE,February 12,<pad>02<pad>12<pad><pad><pad><pad><pad>,explicit,<date February 12 <pad>02<pad>12<pad><pad><pad><pad><pad>>
DATE,DATE,"on June twenty-fifth, two thousand two",2002 06<pad>25<pad><pad><pad><pad><pad>,explicit,"<date on June twenty-fifth, two thousand two 2002 06<pad>25<pad><pad><pad><pad><pad>>"
DATE,DATE,in March 2060,2060 03<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in March 2060 2060 03<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,December 23th,<pad>12<pad>23<pad><pad><pad><pad><pad>,explicit,<date December 23th <pad>12<pad>23<pad><pad><pad><pad><pad>>
DATE,DATE,the third week of 2022,2022<pad>03<pad><pad><pad><pad><pad><pad>,explicit,<date the third week of 2022 2022<pad>03<pad><pad><pad><pad><pad><pad>>
DATE,DATE,The thirteenth day,<pad><pad><pad>13<pad><pad><pad><pad><pad>,explicit,<date The thirteenth day <pad><pad><pad>13<pad><pad><pad><pad><pad>>
DATE,DATE,the 26th of the 7th,<pad>07<pad>26<pad><pad><pad><pad><pad>,explicit,<date the 26th of the 7th <pad>07<pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,beginnings of November,<pad>11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date beginnings of November <pad>11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in March 1946,1946 03<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in March 1946 1946 03<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,early june,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date early june <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 22nd,<pad><pad><pad>22<pad><pad><pad><pad><pad>,explicit,<date On the 22nd <pad><pad><pad>22<pad><pad><pad><pad><pad>>
DATE,DATE,the eighteenth of the 5th of two thousand and sixty-nine,2069 05<pad>18<pad><pad><pad><pad><pad>,explicit,<date the eighteenth of the 5th of two thousand and sixty-nine 2069 05<pad>18<pad><pad><pad><pad><pad>>
DATE,DATE,1963,1963<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1963 1963<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,February,<pad>02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date February <pad>02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the seventh week of 2073,2073<pad>07<pad><pad><pad><pad><pad><pad>,explicit,<date the seventh week of 2073 2073<pad>07<pad><pad><pad><pad><pad><pad>>
DATE,DATE,day two,<pad><pad><pad>02<pad><pad><pad><pad><pad>,explicit,<date day two <pad><pad><pad>02<pad><pad><pad><pad><pad>>
DATE,DATE,early April,<pad>04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date early April <pad>04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the forty-sixth week of 2043,2043<pad>46<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-sixth week of 2043 2043<pad>46<pad><pad><pad><pad><pad><pad>>
DATE,DATE,August,<pad>08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date August <pad>08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of 2099,2099<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of 2099 2099<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"July 1, two thousand fifteen",2015 07<pad>01<pad><pad><pad><pad><pad>,explicit,"<date July 1, two thousand fifteen 2015 07<pad>01<pad><pad><pad><pad><pad>>"
DATE,DATE,in July 2029,2029 07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in July 2029 2029 07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-second week of 2039,2039<pad>22<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-second week of 2039 2039<pad>22<pad><pad><pad><pad><pad><pad>>
DATE,DATE,April 19th,<pad>04<pad>19<pad><pad><pad><pad><pad>,explicit,<date April 19th <pad>04<pad>19<pad><pad><pad><pad><pad>>
DATE,DATE,end of June,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of June <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-fifth week of 1990,1990<pad>25<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-fifth week of 1990 1990<pad>25<pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 22nd,<pad><pad><pad>22<pad><pad><pad><pad><pad>,explicit,<date On the 22nd <pad><pad><pad>22<pad><pad><pad><pad><pad>>
DATE,DATE,in April 1922,1922 04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in April 1922 1922 04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in April 2022,2022 04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in April 2022 2022 04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 9th of november,<pad>11<pad>09<pad><pad><pad><pad><pad>,explicit,<date On the 9th of november <pad>11<pad>09<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-sixth week of 2070,2070<pad>36<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-sixth week of 2070 2070<pad>36<pad><pad><pad><pad><pad><pad>>
DATE,DATE,August,<pad>08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date August <pad>08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,on May 6,<pad>05<pad>06<pad><pad><pad><pad><pad>,explicit,<date on May 6 <pad>05<pad>06<pad><pad><pad><pad><pad>>
DATE,DATE,the fifth week of 2027,2027<pad>05<pad><pad><pad><pad><pad><pad>,explicit,<date the fifth week of 2027 2027<pad>05<pad><pad><pad><pad><pad><pad>>
DATE,DATE,1993/11/13,1993 11<pad>13<pad><pad><pad><pad><pad>,explicit,<date 1993/11/13 1993 11<pad>13<pad><pad><pad><pad><pad>>
DATE,DATE,in February 2084,2084 02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in February 2084 2084 02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in October 2018,2018 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 2018 2018 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,late 1914,1914<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date late 1914 1914<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in December 1932,1932 12<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in December 1932 1932 12<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 14th,<pad><pad><pad>14<pad><pad><pad><pad><pad>,explicit,<date On the 14th <pad><pad><pad>14<pad><pad><pad><pad><pad>>
DATE,DATE,"February 16, 2077",2077 02<pad>16<pad><pad><pad><pad><pad>,explicit,"<date February 16, 2077 2077 02<pad>16<pad><pad><pad><pad><pad>>"
DATE,DATE,the sixth week of 2040,2040<pad>06<pad><pad><pad><pad><pad><pad>,explicit,<date the sixth week of 2040 2040<pad>06<pad><pad><pad><pad><pad><pad>>
DATE,DATE,late 1973,1973<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date late 1973 1973<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1975/6/16,1975 06<pad>16<pad><pad><pad><pad><pad>,explicit,<date 1975/6/16 1975 06<pad>16<pad><pad><pad><pad><pad>>
DATE,DATE,On the 19th,<pad><pad><pad>19<pad><pad><pad><pad><pad>,explicit,<date On the 19th <pad><pad><pad>19<pad><pad><pad><pad><pad>>
DATE,DATE,On day four,<pad><pad><pad>04<pad><pad><pad><pad><pad>,explicit,<date On day four <pad><pad><pad>04<pad><pad><pad><pad><pad>>
DATE,DATE,On the 9th,<pad><pad><pad>09<pad><pad><pad><pad><pad>,explicit,<date On the 9th <pad><pad><pad>09<pad><pad><pad><pad><pad>>
DATE,DATE,the forty-ninth week of 1953,1953<pad>49<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-ninth week of 1953 1953<pad>49<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in September 1934,1934 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 1934 1934 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-seventh week of 1913,1913<pad>37<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-seventh week of 1913 1913<pad>37<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-first week of 2009,2009<pad>31<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-first week of 2009 2009<pad>31<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in March 2027,2027 03<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in March 2027 2027 03<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-eighth of 10,<pad>10<pad>28<pad><pad><pad><pad><pad>,explicit,<date the twenty-eighth of 10 <pad>10<pad>28<pad><pad><pad><pad><pad>>
DATE,DATE,"December 26, 2007",2007 12<pad>26<pad><pad><pad><pad><pad>,explicit,"<date December 26, 2007 2007 12<pad>26<pad><pad><pad><pad><pad>>"
DATE,DATE,in September 2010,2010 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 2010 2010 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,September 9th,<pad>09<pad>09<pad><pad><pad><pad><pad>,explicit,<date September 9th <pad>09<pad>09<pad><pad><pad><pad><pad>>
DATE,DATE,in January 1949,1949 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1949 1949 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,January eighteenth,<pad>01<pad>18<pad><pad><pad><pad><pad>,explicit,<date January eighteenth <pad>01<pad>18<pad><pad><pad><pad><pad>>
DATE,DATE,"November 24, 1959",1959 11<pad>24<pad><pad><pad><pad><pad>,explicit,"<date November 24, 1959 1959 11<pad>24<pad><pad><pad><pad><pad>>"
DATE,DATE,1902,1902<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1902 1902<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in January 2025,2025 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 2025 2025 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in May 1985,1985 05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in May 1985 1985 05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,The eleventh day,<pad><pad><pad>11<pad><pad><pad><pad><pad>,explicit,<date The eleventh day <pad><pad><pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,August twenty-sixth,<pad>08<pad>26<pad><pad><pad><pad><pad>,explicit,<date August twenty-sixth <pad>08<pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,November twenty-seventh,<pad>11<pad>27<pad><pad><pad><pad><pad>,explicit,<date November twenty-seventh <pad>11<pad>27<pad><pad><pad><pad><pad>>
DATE,DATE,"October 2, 1936",1936 10<pad>02<pad><pad><pad><pad><pad>,explicit,"<date October 2, 1936 1936 10<pad>02<pad><pad><pad><pad><pad>>"
DATE,DATE,"March 24, 1959",1959 03<pad>24<pad><pad><pad><pad><pad>,explicit,"<date March 24, 1959 1959 03<pad>24<pad><pad><pad><pad><pad>>"
DATE,DATE,January 19,<pad>01<pad>19<pad><pad><pad><pad><pad>,explicit,<date January 19 <pad>01<pad>19<pad><pad><pad><pad><pad>>
DATE,DATE,September,<pad>09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date September <pad>09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,The 2nd of November,<pad>11<pad>02<pad><pad><pad><pad><pad>,explicit,<date The 2nd of November <pad>11<pad>02<pad><pad><pad><pad><pad>>
DATE,DATE,in December 1936,1936 12<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in December 1936 1936 12<pad><pad><pad><pad><pad><pad><pad>>
